"Feature","Missing_Rate","Domain"
"MMREAD",1,"Psychometric Battery"
"MMWRITE",1,"Psychometric Battery"
"MMDRAW",1,"Psychometric Battery"
"MMSCORE",1,"Psychometric Battery"
"ID.mmse",1,"Other Metadata"
"SITEID.mmse",1,"Other Metadata"
"USERDATE.mmse",1,"Other Metadata"
"USERDATE2.mmse",1,"Other Metadata"
"DD_CRF_VERSION_LABEL.mmse",1,"Other Metadata"
"LANGUAGE_CODE.mmse",1,"Other Metadata"
"HAS_QC_ERROR.mmse",1,"Other Metadata"
"update_stamp.mmse",1,"Other Metadata"
"ORIGPROT.neuro",0,"Other Metadata"
"COLPROT.neuro",0,"Other Metadata"
"PTID.neuro",0,"Other Metadata"
"VISCODE.neuro",0,"Other Metadata"
"VISCODE2.neuro",0,"Other Metadata"
"VISDATE.neuro",0,"Other Metadata"
"SOURCE.neuro",1,"Other Metadata"
"CLOCKCIRC",0,"Psychometric Battery"
"CLOCKSYM",0,"Psychometric Battery"
"CLOCKNUM",0,"Psychometric Battery"
"CLOCKHAND",0,"Psychometric Battery"
"CLOCKTIME",0,"Psychometric Battery"
"CLOCKSCOR",0,"Psychometric Battery"
"COPYCIRC",0,"Psychometric Battery"
"COPYSYM",0,"Psychometric Battery"
"COPYNUM",0,"Psychometric Battery"
"COPYHAND",0,"Psychometric Battery"
"COPYTIME",0,"Psychometric Battery"
"COPYSCOR",0,"Psychometric Battery"
"LMSTORY",1,"Psychometric Battery"
"LIMMTOTAL",1,"Psychometric Battery"
"LIMMEND",1,"Psychometric Battery"
"AVTOT1",0,"Psychometric Battery"
"AVERR1",0,"Psychometric Battery"
"AVTOT2",0,"Psychometric Battery"
"AVERR2",0,"Psychometric Battery"
"AVTOT3",0,"Psychometric Battery"
"AVERR3",0,"Psychometric Battery"
"AVTOT4",0,"Psychometric Battery"
"AVERR4",0,"Psychometric Battery"
"AVTOT5",0,"Psychometric Battery"
"AVERR5",0,"Psychometric Battery"
"AVTOT6",0,"Psychometric Battery"
"AVERR6",0,"Psychometric Battery"
"AVTOTB",0,"Psychometric Battery"
"AVERRB",0,"Psychometric Battery"
"AVENDED",1,"Psychometric Battery"
"DSPANFOR",0.222222222222222,"Psychometric Battery"
"DSPANFLTH",0.222222222222222,"Psychometric Battery"
"DSPANBAC",0.222222222222222,"Psychometric Battery"
"DSPANBLTH",0.222222222222222,"Psychometric Battery"
"CATANIMSC",0,"Psychometric Battery"
"CATANPERS",0,"Psychometric Battery"
"CATANINTR",0,"Psychometric Battery"
"CATVEGESC",0.222222222222222,"Psychometric Battery"
"CATVGPERS",0.222222222222222,"Psychometric Battery"
"CATVGINTR",0.222222222222222,"Psychometric Battery"
"TRAASCOR",0,"Psychometric Battery"
"TRAAERRCOM",0,"Psychometric Battery"
"TRAAERROM",0,"Psychometric Battery"
"TRABSCOR",0,"Psychometric Battery"
"TRABERRCOM",0,"Psychometric Battery"
"TRABERROM",0,"Psychometric Battery"
"DIGITSCOR",0.222222222222222,"Psychometric Battery"
"LDELBEGIN",1,"Psychometric Battery"
"LDELTOTAL",1,"Psychometric Battery"
"LDELCUE",1,"Psychometric Battery"
"BNTND",1,"Psychometric Battery"
"BNTSPONT",0,"Psychometric Battery"
"BNTSTIM",0,"Psychometric Battery"
"BNTCSTIM",0,"Psychometric Battery"
"BNTPHON",0,"Psychometric Battery"
"BNTCPHON",0,"Psychometric Battery"
"BNTTOTAL",0,"Psychometric Battery"
"AVDELBEGAN",0.888888888888889,"Psychometric Battery"
"AVDEL30MIN",0,"Psychometric Battery"
"AVDELERR1",0,"Psychometric Battery"
"AVDELTOT",0,"Psychometric Battery"
"AVDELERR2",0,"Psychometric Battery"
"ANARTERR",0.111111111111111,"Psychometric Battery"
"ANARTND",0.888888888888889,"Psychometric Battery"
"ANART",1,"Psychometric Battery"
"MINTSEMCUE",1,"Psychometric Battery"
"MINTTOTAL",1,"Psychometric Battery"
"MINTUNCUED",1,"Psychometric Battery"
"ID.neuro",0,"Other Metadata"
"SITEID.neuro",0,"Other Metadata"
"USERDATE.neuro",0,"Other Metadata"
"USERDATE2.neuro",0.777777777777778,"Other Metadata"
"DD_CRF_VERSION_LABEL.neuro",1,"Other Metadata"
"LANGUAGE_CODE.neuro",1,"Other Metadata"
"HAS_QC_ERROR.neuro",1,"Other Metadata"
"update_stamp.neuro",0,"Other Metadata"
"ORIGPROT.cdr",1,"Other Metadata"
"COLPROT.cdr",1,"Other Metadata"
"PTID.cdr",1,"Other Metadata"
"VISCODE.cdr",1,"Other Metadata"
"VISCODE2.cdr",1,"Other Metadata"
"VISDATE.cdr",1,"Other Metadata"
"CDSOURCE",1,"Functional Assessments"
"CDVERSION",1,"Functional Assessments"
"SPID",1,"Functional Assessments"
"CDMEMORY",1,"Functional Assessments"
"CDORIENT",1,"Functional Assessments"
"CDJUDGE",1,"Functional Assessments"
"CDCOMMUN",1,"Functional Assessments"
"CDHOME",1,"Functional Assessments"
"CDCARE",1,"Functional Assessments"
"CDGLOBAL",1,"Functional Assessments"
"CDRSB",1,"Functional Assessments"
"ID.cdr",1,"Other Metadata"
"SITEID.cdr",1,"Other Metadata"
"USERDATE.cdr",1,"Other Metadata"
"USERDATE2.cdr",1,"Other Metadata"
"DD_CRF_VERSION_LABEL.cdr",1,"Other Metadata"
"LANGUAGE_CODE.cdr",1,"Other Metadata"
"HAS_QC_ERROR.cdr",1,"Other Metadata"
"update_stamp.cdr",1,"Other Metadata"
"ORIGPROT.faq",0,"Other Metadata"
"COLPROT.faq",0,"Other Metadata"
"PTID.faq",0,"Other Metadata"
"VISCODE.faq",0,"Other Metadata"
"VISCODE2.faq",0,"Other Metadata"
"VISDATE.faq",0,"Other Metadata"
"SOURCE.faq",0,"Other Metadata"
"FAQFINAN",0,"Functional Assessments"
"FAQFORM",0,"Functional Assessments"
"FAQSHOP",0,"Functional Assessments"
"FAQGAME",0,"Functional Assessments"
"FAQBEVG",0,"Functional Assessments"
"FAQMEAL",0,"Functional Assessments"
"FAQEVENT",0,"Functional Assessments"
"FAQTV",0,"Functional Assessments"
"FAQREM",0,"Functional Assessments"
"FAQTRAVL",0,"Functional Assessments"
"FAQTOTAL",0,"Functional Assessments"
"SPID.faq",1,"Other Metadata"
"ID.faq",0,"Other Metadata"
"SITEID.faq",0,"Other Metadata"
"USERDATE.faq",0,"Other Metadata"
"USERDATE2.faq",1,"Other Metadata"
"DD_CRF_VERSION_LABEL.faq",1,"Other Metadata"
"LANGUAGE_CODE.faq",1,"Other Metadata"
"HAS_QC_ERROR.faq",1,"Other Metadata"
"update_stamp.faq",0,"Other Metadata"
"ORIGPROT.mri",1,"Other Metadata"
"COLPROT.mri",1,"Other Metadata"
"PTID.mri",1,"Other Metadata"
"VISCODE.mri",1,"Other Metadata"
"VISCODE2.mri",1,"Other Metadata"
"IMAGEUID",1,"Neuroimaging"
"FIELD_STRENGTH",1,"Neuroimaging"
"EXAMDATE",1,"Neuroimaging"
"RUNDATE",1,"Neuroimaging"
"STATUS",1,"Neuroimaging"
"FSVER",1,"Neuroimaging"
"OVERALLQC",1,"Neuroimaging"
"TEMPQC",1,"Neuroimaging"
"FRONTQC",1,"Neuroimaging"
"PARQC",1,"Neuroimaging"
"INSULAQC",1,"Neuroimaging"
"OCCQC",1,"Neuroimaging"
"BGQC",1,"Neuroimaging"
"CWMQC",1,"Neuroimaging"
"VENTQC",1,"Neuroimaging"
"HIPPOQC",1,"Neuroimaging"
"ST101SV",1,"Neuroimaging"
"ST102CV",1,"Neuroimaging"
"ST102SA",1,"Neuroimaging"
"ST102TA",1,"Neuroimaging"
"ST102TS",1,"Neuroimaging"
"ST103CV",1,"Neuroimaging"
"ST103SA",1,"Neuroimaging"
"ST103TA",1,"Neuroimaging"
"ST103TS",1,"Neuroimaging"
"ST104CV",1,"Neuroimaging"
"ST104SA",1,"Neuroimaging"
